340	Alheira grelhada sem adição de sal	302	1260	17	4,9	6,2	3,9	3,5	0,1	28,5	1	0	27,5	1,5	8,1	1,8	0	44,1	0	33	0	0	0	0,3	0,02	0,07	2,1	3,5	1,4	0,02	0,9	0	0,9	2,3	700	90	20	54	17	0,3	1,2
8	Alho cru	72	303	0,6	0,1	0	0,3	0,3	0	11,3	1,3	0	10	3	3,8	0	0	79,8	0	0	0	0	0	0,01	0,21	0,02	0,6	1,4	0,8	0,38	0	17	3	1	10	350	17	86	17	0,8	0,7
9	Alho em pó	310	1310	1,2	0,2	0	0,6	0,6	0	52,3	6	0	46,3	10	17,6	0,1	0	6,5	0	0	0	0	0	0,03	0,47	0,09	0,7	4,5	3,8	0,99	0	0	0	3,3	23	1230	73	320	60	3,3	2,6
581	Alho-francês cru	26	110	0,3	0,1	0	0,2	0,1	0	2,9	2,2	0,4	0,3	2,4	1,8	0	0	91	0	0	124	745	0	0,67	0,29	0,05	0,4	0,6	0,2	0,48	0	20	87	0,86	4	240	24	44	11	1	0,2
1035	Almôndegas de porco	234	983	8,9	2,8	3,6	1,3	1,21	0,1	29,2	2,2	0,2	26,8	2,2	8	0,9	0	49,7	0,3	75	55	111	0,4	0,6	0,16	0,18	1,5	3,27	1,73	0,2	0,26	12,6	30	1,69	370	210	54	140	25	1,6	1
1036	Almôndegas de vaca	252	1050	17,4	7,1	6,7	1	0,942	0,6	6,4	1,1	0,2	5,1	0,7	17	0,9	0	56,2	0	95	71	149	0,5	0,54	0,12	0,2	2,9	6,61	3,66	0,41	1,5	11,2	28	1,99	370	310	44	220	24	1,1	2,5
373	Almôndegas de vaca e porco 	243	1010	16,7	6,9	5,5	2,7	2,42	0,3	3,8	1,2	0	2,6	0,2	19,2	1,9	0	57	0	100	70	32	0,6	0,34	0,13	0,2	3	8,21	4,16	0,23	1,1	0,2	8,7	2,85	770	240	39	200	22	1,4	3,7
908	Amêijoa aberta ao natural sem sal	131	553	1,8	0,4	0,2	0,4	0	0	5,2	0	0	5,2	0	23,4	1,2	0	65,9	0	88	175	0	0,2	0,58	0,06	0,3	3,2	8,2	5	0,07	67	0	16	2	490	160	100	360	210	17	4,2
907	Amêijoa crua	65	276	0,9	0,2	0,1	0,2	0	0	2,6	0	0	2,6	0	11,7	0,6	0	81,1	0	44	97	0	0,1	0,29	0,04	0,15	1,7	4,2	2,5	0,04	37	0	9,5	1	240	78	51	180	100	8,5	2,1
1162	Amêijoas à Bulhão Pato	89	374	2,5	0,4	1,3	0,4	0,121	0	3,2	0,3	0	2,9	0,4	12,8	0,7	0	76,7	0,5	47	110	34	0,1	0,62	0,05	0,17	1,9	4,61	2,72	0,06	40	9	12	1,21	260	130	63	200	110	9,3	2,3
626	Ameixa branca	40	171	0,2	0	0,1	0,1	0,1	0	7,8	7,8	0	0	1,6	0,6	0,1	0	89	0,6	0	107	640	0	0,61	0,02	0,06	0,6	0,7	0,1	0,05	0	2	3	0,36	52	140	3	12	5	0,1	0,1
628	Ameixa, conserva em calda de açúcar	115	486	0,2	0	0,1	0,1	0,1	0	27,5	27,5	0	0	1	0,2	0	0	71	0	0	80	480	0	0,25	0,03	0,03	0,3	0,3	0	0,03	0	1	0	0,25	6	95	11	6	5	0,3	0,1
627	Ameixa encarnada	41	172	0,2	0	0,1	0,1	0,1	0	7,4	7,4	0	0	1,9	0,8	0	0	88	0,8	0	70	420	0	0,6	0,02	0,08	0,5	0,6	0,1	0,05	0	2	6	0,31	2	190	13	13	7	0,2	0
630	Ameixa rainha Cláudia	57	242	0,1	0	0,1	0	0	0	11,8	11,8	0	0	2,3	0,8	0	0	82	0,4	0	16	95	0	0,6	0,05	0,04	0,6	0,7	0,1	0,05	0	5	3	0,6	1	280	15	23	8	0,4	0,1
631	Ameixa seca	198	834	0,3	0	0,2	0,1	0	0	37,8	37,8	0	0	15,6	2,9	0	0	40	0,5	0	119	715	0	2,3	0,04	0,08	1	1,2	0,2	0,13	0	1	4	2,1	12	830	38	68	26	3	0,6
697	Amêndoa, miolo, com pele	643	2660	56	4,7	34,5	14,3	13,9	0	7,2	4,6	0	2,6	12	21,6	0	0	4,9	0	0	0	0	0	24	0,21	0,75	2,2	5,7	3,5	0,15	0	1	49	3	6	860	270	410	260	4	3,1
698	Amêndoa, miolo, torrada, sem pele	650	2690	56,8	4,7	35,1	14,5	14,1	0	7,1	5	0	2,1	12,2	21,6	0	0	3	0	0	0	0	0	25	0,13	0,57	2,1	5,6	3,5	0,09	0	0	37	3	6	870	270	410	260	4,1	3,2
699	Amendoim, miolo	589	2440	47,7	8,5	21,8	14,8	14,3	0	10,1	4,8	0	5,3	8,8	25,4	0	0	5,7	0	0	0	0	0	9,9	0,9	0,13	15	20	5,5	0,44	0	0	110	2,6	7	680	62	380	180	2,2	3,2
701	Amendoim, miolo, torrado com sal	614	2540	51,8	9,2	23,7	16,1	15,5	0	6,6	3,6	0	3	8,3	26,2	1,1	0	2,5	0	0	0	0	0	0,66	0,22	0,13	14	19	5,2	0,47	0	0	52	3,6	420	820	35	360	160	1,2	2,7
700	Amendoim, miolo, torrado sem sal	605	2500	49,6	8,8	22,7	15,4	14,8	0	9,5	4,5	0	5	8,9	25,6	0	0	2,5	0	0	0	0	0	1,1	0,22	0,13	14	20	5,5	0,47	0	0	66	3,6	6	740	57	370	170	2,1	3
1900000089	Amora	43	179	0,9	0	0	0,3	0,2	0	4,5	4,2	0	0	4,6	1,4	0	0	88	0,9	0	27	164	0	4,42	0,02	0,04	0,54	0,74	0,2	0,05	0	16,5	25	0,395	1,8	240	28	33	22	0,6	0,5
632	Ananás 	48	201	0,2	0	0,1	0,1	0,1	0	9,5	9,5	0	0	1,2	0,5	0	0	87,6	1,1	0	3	20	0	0,1	0,04	0,03	0,6	0,7	0,1	0,09	0	16	5	0,2	2	160	18	7	13	0,3	0,1
633	Ananás, conserva em calda de açúcar	98	417	0,1	0	0,1	0	0	0	23,2	23,2	0	0	1	0,2	0	0	74,9	0,6	0	2	11	0	0,06	0,03	0,02	0,2	0,2	0	0,08	0	7	1	0,34	2	110	17	5	11	0,3	0,1
1900000104	Ananás desidratado	363	1540	1,5	0	0,8	0,8	0,8	0	72,8	72,8	0	0	9,2	3,8	0	0	5	8,2	0			0	0,77		0,23	4,6	5,36	0,77	0,69	0		38,3	1,53	15	1230	140	54	100	2,3	0,8
1191	Anchova, conserva em óleo, escorrido	191	798	10	1,6	5,3	1,8	1,76	0,5	0	0	0	0	0	25,2	9,8	0	46,4	0	63	57	0	3	0,6	0,02	0,1	3,8	8,5	0	0,51	11	0	18	11,6	3930	230	300	300	56	4,1	3
635	Anona	82	349	0,4	0	0,2	0,1	0,1	0	16,8	14,8	0	2	2,4	1,7	0	0	77,7	0	0	1	6	0	0,1	0,1	0,11	0,9	1	0,1	0,2	0	17	5	0,55	11	240	6	31	23	0,3	0,2
1900000105	Anona desidratada	351	1480	1,7	0	0,9	0,4	0,4	0	71,6	63	0	8,5	10,2	7,2	0,1	0	5	0	0			0	0,43		0,47	3,83	4,26	0,43	0,85	0		21,3	2,34	47	1000	26	130	98	1,3	0,9
402	Arroz agulha cru	347	1470	0,4	0,1	0,1	0,1	0,1	0	78,1	0	0	78,1	2,1	6,7	0	0	13,9	0	0	0	0	0	0,1	0,06	0,03	2	3,4	1,4	0,29	0	0	19	0,5	6	94	13	87	32	0,6	1,3
1087	Arroz à valenciana	111	463	5,3	1,4	2,4	0,8	0,437	0	7,7	0,7	0,1	7	0,8	7,6	0,5	0	77,4	0	29	86	267	0,5	0,67	0,11	0,06	1,9	3,33	1,51	0,15	4	13,2	13	0,946	180	150	23	89	21	1,5	0,7
400	Arroz carolino branqueado cru	357	1520	0,5	0,1	0,1	0,2	0,2	0	79,6	0	0	79,6	2,2	7,4	0	0	10,7	0	0	0	0	0	0,1	0,07	0,03	2	3,6	1,6	0,3	0	0	20	1	6	110	11	92	13	0,6	1,3
403	Arroz cozido simples	125	532	0,2	0	0,1	0,1	0	0	28	0	0	28	0,8	2,5	0,8	0	68,4	0	0	0	0	0	0	0,01	0,01	0,6	1,1	0,5	0,08	0	0	5,8	0,9	310	36	7	33	15	0,2	0,6
